prodid;prodDescription;price1;price2;unitCost;supplierName;productTypeID
5;Flake Photo Equipment;232.26;204.39;170;;1
12;Chromium Photo Equipment;565.5;457.49;326;;1
26;Simulations Photo Equipment;318.38;255.66;193;;1
27;Vastest Photo Equipment;498.08;442.3;294;;1
43;Bomber Photo Equipment;461.34;400.44;336;;1
2;Planetesimal Manufacturing Equip;347.28;307;250;;2
4;Miniaturizing Manufacturing Equip;456.24;379.59;325;;2
7;Bandage Manufacturing Equip;298;267.01;234;;2
11;Sailors Manufacturing Equip;340.48;290.43;235;;2
16;Insensitivity Manufacturing Equip;200.71;180.44;117;;2
19;Habitually Manufacturing Equip;509.3;419.15;354;;2
20;Courthouses Manufacturing Equip;285.62;243.63;182;;2
22;Extinguisher Manufacturing Equip;120.39;98.36;65;;2
23;Occlusion Manufacturing Equip;199.88;177.29;72;;2
30;Suing Manufacturing Equip;482.16;426.71;329;;2
33;Pervasively Manufacturing Equip;374.14;334.86;303;;2
34;Septembers Manufacturing Equip;584.33;522.98;217;;2
35;Birthdays Manufacturing Equip;196.56;173.17;115;;2
37;Escape Manufacturing Equip;584.38;523.6;463;;2
39;Disallow Manufacturing Equip;165.24;145.91;97;;2
1;Enumerator Polishing Equipment;164.97;142.53;120;;3
6;Denigrating Polishing Equipment;565.95;454.46;402;;3
8;Chalmers Polishing Equipment;289.17;242.61;215;;3
15;Syntax Polishing Equipment;226.72;190.9;123;;3
18;Allis Polishing Equipment;201.77;176.35;112;;3
21;Weeks Polishing Equipment;198.83;174.18;151,07;;3
24;Loaves Polishing Equipment;425.59;361.33;241;;3
28;Palm Polishing Equipment;122.39;105.38;87,04;;3
31;Bellowing Polishing Equipment;502.57;451.31;400;;3
36;Duplicator Polishing Equipment;544.28;465.36;409;;3
40;Subclasses Polishing Equipment;282.51;239;210;;3
42;Concentrators Polishing Equipment;584.57;524.94;472;;3
32;Embodying Cleaning Supplies;250.91;213.52;207.11;TPC West;5
9;Defeated Tray Supplies;559.74;476.9;448.29;TPC West;8
10;Chartable Photo Equipment;410.17;347.41;295;;9
14;Travelings Photo Chemicals;274.39;242.01;225.07;TPC West;9
29;Millimeters Flushing Chemicals;295.56;251.82;241.75;TPC East;10
25;Automobiles Fillers;283.83;227.63;218.52;TPC East;12
38;Commendation Fillers;436.33;380.04;364.84;TPC West;12
13;Coward Covers;429.79;348.99;328.05;TPC East;13
17;Sortie Covers;248.21;213.21;206.81;TPC East;13
41;Sulkiness Covers;354.3;289.82;272.43;TPC East;13
3;Tailor Jacks;509.78;429.74;399.66;TPC West;15
